,0
0,Alabama
1,Alaska
2,Arizona
3,Arkansas
4,Colorado
5,Connecticut
6,Delaware
7,Georgia
8,Idaho
9,Indiana
10,Kansas
11,Kentucky
12,Louisiana
13,Maine
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nevada
22,New Hampshire
23,New Jersey
24,New Mexico
25,Oklahoma
26,Oregon
27,Pennsylvania
28,Rhode Island
29,South Dakota
30,Tennessee
31,Texas
32,Utah
33,Vermont
34,Virginia
35,Washington
36,West Virginia
37,Wisconsin
38,Wyoming
